2019-11-25 01:42:18.786 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - Starting EverydaymallApplication on TANGDENGQIAO with PID 2800 (D:\Project\EclipseProject\EclipsePersonal\Everydaymall\target\classes started by tang in D:\Project\EclipseProject\EclipsePersonal\Everydaymall)
2019-11-25 01:42:18.787 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - No active profile set, falling back to default profiles: default
2019-11-25 01:42:19.509 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-25 01:42:19.529 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
2019-11-25 01:42:19.623 [restartedMain] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-25 01:42:19.787 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-11-25 01:42:19.788 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-25 01:42:19.789 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2019-11-25 01:42:19.954 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/Everydaymall] - Initializing Spring embedded WebApplicationContext
2019-11-25 01:42:19.955 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1160 ms
2019-11-25 01:42:20.492 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-25 01:42:21.139 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-11-25 01:42:21.181 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/Everydaymall'
2019-11-25 01:42:21.181 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - Started EverydaymallApplication in 2.712 seconds (JVM running for 99.689)
2019-11-25 01:42:21.184 [restartedMain] INFO  o.s.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2019-11-25 01:42:26.006 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2019-11-25 01:42:26.012 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-25 01:42:42.210 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - Starting EverydaymallApplication on TANGDENGQIAO with PID 33696 (D:\Project\EclipseProject\EclipsePersonal\Everydaymall\target\classes started by tang in D:\Project\EclipseProject\EclipsePersonal\Everydaymall)
2019-11-25 01:42:42.212 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - No active profile set, falling back to default profiles: default
2019-11-25 01:42:42.316 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-11-25 01:42:42.317 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-11-25 01:42:44.229 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-25 01:42:44.282 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40ms. Found 0 repository interfaces.
2019-11-25 01:42:45.209 [restartedMain] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-25 01:42:45.976 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-11-25 01:42:45.995 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-11-25 01:42:45.996 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-25 01:42:45.997 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2019-11-25 01:42:46.153 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/Everydaymall] - Initializing Spring embedded WebApplicationContext
2019-11-25 01:42:46.154 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3837 ms
2019-11-25 01:42:47.546 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-25 01:42:48.605 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-11-25 01:42:48.651 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-11-25 01:42:48.698 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/Everydaymall'
2019-11-25 01:42:48.702 [restartedMain] INFO  com.everydaymall.EverydaymallApplication - Started EverydaymallApplication in 7.349 seconds (JVM running for 11.505)
2019-11-25 01:43:39.859 [Thread-6] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
